venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:   60 18:46:58       20.051239        0.309704
BFGS:   61 18:46:58       20.166506        0.307357
BFGS:   62 18:46:59       20.283055        0.305214
BFGS:   63 18:46:59       20.396994        0.303288
BFGS:   64 18:46:59       20.504313        0.301587
BFGS:   65 18:46:59       20.596291        0.300188
BFGS:   66 18:47:00       20.670752        0.299079
BFGS:   67 18:47:00       20.731499        0.298178
BFGS:   68 18:47:00       20.780213        0.297446
BFGS:   69 18:47:01       20.819773        0.296833
BFGS:   70 18:47:01       20.853056        0.296299
BFGS:   71 18:47:01       20.882269        0.295810
BFGS:   72 18:47:02       20.909075        0.295342
BFGS:   73 18:47:02       20.932393        0.294919
BFGS:   74 18:47:02       20.954215        0.294509
BFGS:   75 18:47:02       20.976591        0.296062
BFGS:   76 18:47:03       20.999253        0.299007
BFGS:   77 18:47:03       21.021451        0.302212
BFGS:   78 18:47:03       21.043775        0.305518
BFGS:   79 18:47:04       21.067696        0.309108
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:47:04       19.121519        0.308725
BFGS:   80 18:47:04       21.092788        0.312862
BFGS:    1 18:47:04       19.121581        0.308649
BFGS:   81 18:47:04       21.117971        0.316495
BFGS:    2 18:47:05       19.151896        0.300600
BFGS:   82 18:47:05       21.139993        0.319432
BFGS:    3 18:47:05       19.223879        0.295436
BFGS:   83 18:47:05       21.159223        0.321686
BFGS:    4 18:47:05       19.333060        0.293892
BFGS:   84 18:47:05       21.177080        0.323349
BFGS:   85 18:47:06       21.193537        0.324307
BFGS:    5 18:47:06       19.473527        0.292162
BFGS:   86 18:47:06       21.208551        0.324447
BFGS:    6 18:47:06       19.629305        0.290305
BFGS:   87 18:47:06       21.222115        0.323675
BFGS:    7 18:47:06       19.761883        0.288658
BFGS:   88 18:47:06       21.233698        0.322037
BFGS:    8 18:47:06       19.850852        0.287469
BFGS:   89 18:47:07       21.243863        0.319565
BFGS:    9 18:47:07       19.902172        0.286746
BFGS:   90 18:47:07       21.252932        0.316259
BFGS:   10 18:47:07       19.930323        0.286345
BFGS:   91 18:47:07       21.260957        0.312208
BFGS:   11 18:47:07       19.942273        0.286171
BFGS:   92 18:47:08       21.267993        0.307563
BFGS:   12 18:47:08       19.949139        0.286077
BFGS:   93 18:47:08       21.274109        0.302525
BFGS:   13 18:47:08       19.945828        0.286094
BFGS:   94 18:47:08       21.279383        0.301016
BFGS:   14 18:47:08       19.908633        0.286347
BFGS:   95 18:47:09       21.283899        0.301121
BFGS:   15 18:47:09       19.879960        0.286538
BFGS:   96 18:47:09       21.287747        0.301214
BFGS:   16 18:47:09       19.857111        0.286694
BFGS:   97 18:47:09       21.291013        0.301296
BFGS:   17 18:47:09       19.840820        0.286803
BFGS:   98 18:47:09       21.293775        0.301367
BFGS:   18 18:47:10       19.828498        0.286889
BFGS:   99 18:47:10       21.296107        0.301429
BFGS:   19 18:47:10       19.820277        0.286941
BFGS:  100 18:47:10       21.298071        0.301483
BFGS:   20 18:47:10       19.812536        0.287003
BFGS:   21 18:47:11       19.812711        0.286965
BFGS:   22 18:47:11       19.800952        0.285992
BFGS:   23 18:47:11       19.798139        0.285010
BFGS:   24 18:47:11       19.794661        0.284116
BFGS:   25 18:47:12       19.793469        0.283129
BFGS:   26 18:47:12       19.792958        0.282294
BFGS:   27 18:47:12       19.794129        0.281288
BFGS:   28 18:47:13       19.795350        0.280531
BFGS:   29 18:47:13       19.798751        0.279438
BFGS:   30 18:47:13       19.801193        0.278799
BFGS:   31 18:47:14       19.807170        0.277477
BFGS:   32 18:47:14       19.811159        0.276810
BFGS:   33 18:47:14       19.819186        0.275368
BFGS:   34 18:47:15       19.825584        0.274388
BFGS:   35 18:47:15       19.834402        0.273378
BFGS:   36 18:47:15       19.843002        0.273060
